ruta_nombre,tipo_ruta,longitud_km,duracion_hr,popularidad
Aruba Central - 1.9,Cultural,26.7,1.9,4.7
Nimble Peak - 3.2,Aventura,31.5,3.2,4.1
Composable Cloud - 6.1,Aventura,79.5,6.1,3.4
Nimble Peak - 4.7,Gastronómica,45.2,4.7,4.5
Nimble Peak - 5.7,Histórica,74.2,5.7,3.2
Ezmeral Valley - 5.2,Ecológica,47.6,5.2,3.6
Ezmeral Valley - 6.0,Histórica,81.8,6.0,3.2
ProLiant Village - 6.9,Cultural,93.0,6.9,3.3
Apollo Heights - 6.2,Aventura,87.1,6.2,3.3
Aruba Central - 7.2,Gastronómica,93.0,7.2,3.6
ProLiant Village - 3.2,Aventura,23.0,3.2,3.1
ProLiant Village - 1.0,Gastronómica,10.4,1.0,4.0
ProLiant Village - 16.6,Cultural,96.3,16.6,3.4
Composable Cloud - 3.0,Aventura,43.4,3.0,4.1
Composable Cloud - 1.1,Ecológica,12.8,1.1,4.1
Simplivity Springs - 8.4,Aventura,68.6,8.4,3.5
GreenLake Shores - 2.8,Histórica,35.0,2.8,3.1
Apollo Heights - 5.6,Cultural,56.1,5.6,3.3
Simplivity Springs - 6.1,Aventura,40.1,6.1,4.7
Alletra City - 6.5,Cultural,68.4,6.5,4.9
Nimble Peak - 2.6,Gastronómica,16.0,2.6,4.1
Alletra City - 3.0,Ecológica,25.0,3.0,4.4
Alletra City - 2.1,Histórica,28.9,2.1,3.1
HPE Innovation Hub - 0.4,Cultural,5.3,0.4,4.3
Alletra City - 6.2,Histórica,57.4,6.2,3.0
Nimble Peak - 1.0,Ecológica,8.4,1.0,4.1
HPE Innovation Hub - 2.5,Cultural,34.3,2.5,4.6
Aruba Central - 6.0,Aventura,69.8,6.0,3.7
ProLiant Village - 5.3,Ecológica,76.2,5.3,3.5
GreenLake Shores - 0.6,Histórica,7.4,0.6,3.7
HPE Innovation Hub - 1.7,Gastronómica,20.1,1.7,3.8
Aruba Central - 1.7,Aventura,24.0,1.7,3.7
Ezmeral Valley - 7.5,Cultural,67.7,7.5,3.6
Nimble Peak - 7.3,Gastronómica,65.9,7.3,5.0
ProLiant Village - 1.1,Cultural,16.0,1.1,3.4
Alletra City - 7.3,Cultural,61.7,7.3,4.6
HPE Innovation Hub - 3.9,Cultural,41.6,3.9,3.5
HPE Innovation Hub - 8.9,Ecológica,92.9,8.9,4.4
Ezmeral Valley - 1.0,Histórica,11.6,1.0,3.7
Simplivity Springs - 4.6,Gastronómica,53.2,4.6,3.7
Alletra City - 2.0,Aventura,23.2,2.0,3.8
GreenLake Shores - 11.4,Histórica,57.1,11.4,3.6
HPE Innovation Hub - 4.0,Histórica,47.0,4.0,4.0
GreenLake Shores - 4.8,Gastronómica,54.0,4.8,3.7
Ezmeral Valley - 12.6,Aventura,81.6,12.6,3.1
Apollo Heights - 3.9,Histórica,44.4,3.9,3.4
HPE Innovation Hub - 2.4,Histórica,28.2,2.4,3.0
Nimble Peak - 1.5,Aventura,21.7,1.5,4.0
Aruba Central - 14.8,Aventura,92.2,14.8,3.3
Apollo Heights - 4.2,Ecológica,61.6,4.2,4.8
